language,claim_id,contrast_id,outcome,pair_id,estimate
spanish,same_language_effect_across_initializations,spanish_same_language_effect_different_starting_weights__learning_curve_auc,learning_curve_auc,pair-09,0.622451698517389
spanish,same_language_effect_across_initializations,spanish_same_language_effect_different_starting_weights__learning_curve_auc,learning_curve_auc,pair-10,0.942662680950272
spanish,same_language_effect_across_initializations,spanish_same_language_effect_different_starting_weights__learning_curve_auc,learning_curve_auc,pair-11,1.91257828079494
german,same_language_effect_across_initializations,german_same_language_effect_different_starting_weights__step_zero,step_zero,pair-00,0.029695647668342
german,same_language_effect_across_initializations,german_same_language_effect_different_starting_weights__step_zero,step_zero,pair-01,-0.351336189694067
german,same_language_effect_across_initializations,german_same_language_effect_different_starting_weights__step_zero,step_zero,pair-02,0.0288741971026832
german,same_language_effect_across_initializations,german_same_language_effect_different_starting_weights__step_zero,step_zero,pair-03,-0.232399667798331
german,same_language_effect_across_initializations,german_same_language_effect_different_starting_weights__step_zero,step_zero,pair-04,0.198424597003541
german,same_language_effect_across_initializations,german_same_language_effect_different_starting_weights__step_zero,step_zero,pair-05,0.241884951129091
german,same_language_effect_across_initializations,german_same_language_effect_different_starting_weights__step_zero,step_zero,pair-06,0.0031975132053862
german,same_language_effect_across_initializations,german_same_language_effect_different_starting_weights__step_zero,step_zero,pair-07,0.125475493668277
german,same_language_effect_across_initializations,german_same_language_effect_different_starting_weights__step_zero,step_zero,pair-08,-0.103056052163859
german,same_language_effect_across_initializations,german_same_language_effect_different_starting_weights__step_zero,step_zero,pair-09,0.285845375918656
german,same_language_effect_across_initializations,german_same_language_effect_different_starting_weights__step_zero,step_zero,pair-10,0.215134714011575
german,same_language_effect_across_initializations,german_same_language_effect_different_starting_weights__step_zero,step_zero,pair-11,0.246606488092253
german,same_language_effect_across_initializations,german_same_language_effect_different_starting_weights__learning_curve_auc,learning_curve_auc,pair-00,0.408109641236558
german,same_language_effect_across_initializations,german_same_language_effect_different_starting_weights__learning_curve_auc,learning_curve_auc,pair-01,0.428039123901557
german,same_language_effect_across_initializations,german_same_language_effect_different_starting_weights__learning_curve_auc,learning_curve_auc,pair-02,0.3487432941151
german,same_language_effect_across_initializations,german_same_language_effect_different_starting_weights__learning_curve_auc,learning_curve_auc,pair-03,-0.264275330998424
german,same_language_effect_across_initializations,german_same_language_effect_different_starting_weights__learning_curve_auc,learning_curve_auc,pair-04,1.21401235825333
german,same_language_effect_across_initializations,german_same_language_effect_different_starting_weights__learning_curve_auc,learning_curve_auc,pair-05,0.885745089141184
german,same_language_effect_across_initializations,german_same_language_effect_different_starting_weights__learning_curve_auc,learning_curve_auc,pair-06,0.880176558863244
german,same_language_effect_across_initializations,german_same_language_effect_different_starting_weights__learning_curve_auc,learning_curve_auc,pair-07,0.818356549995277
german,same_language_effect_across_initializations,german_same_language_effect_different_starting_weights__learning_curve_auc,learning_curve_auc,pair-08,0.408401716570346
german,same_language_effect_across_initializations,german_same_language_effect_different_starting_weights__learning_curve_auc,learning_curve_auc,pair-09,0.903866356971697
german,same_language_effect_across_initializations,german_same_language_effect_different_starting_weights__learning_curve_auc,learning_curve_auc,pair-10,1.08732961941891
german,same_language_effect_across_initializations,german_same_language_effect_different_starting_weights__learning_curve_auc,learning_curve_auc,pair-11,1.18594223779014
spanish,same_over_other_language_across_initializations,spanish_same_language_over_other_language_different_starting_weights__step_zero,step_zero,pair-00,-0.835230942409487
spanish,same_over_other_language_across_initializations,spanish_same_language_over_other_language_different_starting_weights__step_zero,step_zero,pair-01,-1.05068878436967
spanish,same_over_other_language_across_initializations,spanish_same_language_over_other_language_different_starting_weights__step_zero,step_zero,pair-02,-1.07617994958333
spanish,same_over_other_language_across_initializations,spanish_same_language_over_other_language_different_starting_weights__step_zero,step_zero,pair-03,-0.0793827860367971
spanish,same_over_other_language_across_initializations,spanish_same_language_over_other_language_different_starting_weights__step_zero,step_zero,pair-04,-1.10933608075932
spanish,same_over_other_language_across_initializations,spanish_same_language_over_other_language_different_starting_weights__step_zero,step_zero,pair-05,-0.697842792839588
spanish,same_over_other_language_across_initializations,spanish_same_language_over_other_language_different_starting_weights__step_zero,step_zero,pair-06,-0.830011800393709
spanish,same_over_other_language_across_initializations,spanish_same_language_over_other_language_different_starting_weights__step_zero,step_zero,pair-07,-0.796602562103605
spanish,same_over_other_language_across_initializations,spanish_same_language_over_other_language_different_starting_weights__step_zero,step_zero,pair-08,-1.20812702140789
spanish,same_over_other_language_across_initializations,spanish_same_language_over_other_language_different_starting_weights__step_zero,step_zero,pair-09,-0.993118914141325
spanish,same_over_other_language_across_initializations,spanish_same_language_over_other_language_different_starting_weights__step_zero,step_zero,pair-10,-0.65472970873013
spanish,same_over_other_language_across_initializations,spanish_same_language_over_other_language_different_starting_weights__step_zero,step_zero,pair-11,-0.533033864997932
spanish,same_over_other_language_across_initializations,spanish_same_language_over_other_language_different_starting_weights__learning_curve_auc,learning_curve_auc,pair-00,-1.24483428575983
spanish,same_over_other_language_across_initializations,spanish_same_language_over_other_language_different_starting_weights__learning_curve_auc,learning_curve_auc,pair-01,-1.47812044367388
spanish,same_over_other_language_across_initializations,spanish_same_language_over_other_language_different_starting_weights__learning_curve_auc,learning_curve_auc,pair-02,-1.80487567890989
spanish,same_over_other_language_across_initializations,spanish_same_language_over_other_language_different_starting_weights__learning_curve_auc,learning_curve_auc,pair-03,0.8644184601485
spanish,same_over_other_language_across_initializations,spanish_same_language_over_other_language_different_starting_weights__learning_curve_auc,learning_curve_auc,pair-04,-1.52399886356561
spanish,same_over_other_language_across_initializations,spanish_same_language_over_other_language_different_starting_weights__learning_curve_auc,learning_curve_auc,pair-05,-1.23598811592363
spanish,same_over_other_language_across_initializations,spanish_same_language_over_other_language_different_starting_weights__learning_curve_auc,learning_curve_auc,pair-06,-1.05241681318661
spanish,same_over_other_language_across_initializations,spanish_same_language_over_other_language_different_starting_weights__learning_curve_auc,learning_curve_auc,pair-07,-1.134582834867
spanish,same_over_other_language_across_initializations,spanish_same_language_over_other_language_different_starting_weights__learning_curve_auc,learning_curve_auc,pair-08,-1.95385775302355
spanish,same_over_other_language_across_initializations,spanish_same_language_over_other_language_different_starting_weights__learning_curve_auc,learning_curve_auc,pair-09,-1.38728401196771
spanish,same_over_other_language_across_initializations,spanish_same_language_over_other_language_different_starting_weights__learning_curve_auc,learning_curve_auc,pair-10,-0.691172945251304
spanish,same_over_other_language_across_initializations,spanish_same_language_over_other_language_different_starting_weights__learning_curve_auc,learning_curve_auc,pair-11,-0.578398580806078
german,same_over_other_language_across_initializations,german_same_language_over_other_language_different_starting_weights__step_zero,step_zero,pair-00,-0.511841096257884
german,same_over_other_language_across_initializations,german_same_language_over_other_language_different_starting_weights__step_zero,step_zero,pair-01,-0.642291436178763
german,same_over_other_language_across_initializations,german_same_language_over_other_language_different_starting_weights__step_zero,step_zero,pair-02,-0.48378833582015
german,same_over_other_language_across_initializations,german_same_language_over_other_language_different_starting_weights__step_zero,step_zero,pair-03,-0.669523473591683
german,same_over_other_language_across_initializations,german_same_language_over_other_language_different_starting_weights__step_zero,step_zero,pair-04,-0.274297708561983
german,same_over_other_language_across_initializations,german_same_language_over_other_language_different_starting_weights__step_zero,step_zero,pair-05,-0.429598036304333
german,same_over_other_language_across_initializations,german_same_language_over_other_language_different_starting_weights__step_zero,step_zero,pair-06,-0.609024013923657
german,same_over_other_language_across_initializations,german_same_language_over_other_language_different_starting_weights__step_zero,step_zero,pair-07,-0.348861414298573
german,same_over_other_language_across_initializations,german_same_language_over_other_language_different_starting_weights__step_zero,step_zero,pair-08,-0.437399393626061
german,same_over_other_language_across_initializations,german_same_language_over_other_language_different_starting_weights__step_zero,step_zero,pair-09,-0.257606581893677
german,same_over_other_language_across_initializations,german_same_language_over_other_language_different_starting_weights__step_zero,step_zero,pair-10,-0.186573580773697
german,same_over_other_language_across_initializations,german_same_language_over_other_language_different_starting_weights__step_zero,step_zero,pair-11,-0.193263701051956
german,same_over_other_language_across_initializations,german_same_language_over_other_language_different_starting_weights__learning_curve_auc,learning_curve_auc,pair-00,-0.38647966088577
german,same_over_other_language_across_initializations,german_same_language_over_other_language_different_starting_weights__learning_curve_auc,learning_curve_auc,pair-01,-0.108755630239686
german,same_over_other_language_across_initializations,german_same_language_over_other_language_different_starting_weights__learning_curve_auc,learning_curve_auc,pair-02,-0.179909026592368
german,same_over_other_language_across_initializations,german_same_language_over_other_language_different_starting_weights__learning_curve_auc,learning_curve_auc,pair-03,-1.00587122383254
german,same_over_other_language_across_initializations,german_same_language_over_other_language_different_starting_weights__learning_curve_auc,learning_curve_auc,pair-04,0.428468336265581
german,same_over_other_language_across_initializations,german_same_language_over_other_language_different_starting_weights__learning_curve_auc,learning_curve_auc,pair-05,-0.32350515973244
german,same_over_other_language_across_initializations,german_same_language_over_other_language_different_starting_weights__learning_curve_auc,learning_curve_auc,pair-06,-0.157010218556392
german,same_over_other_language_across_initializations,german_same_language_over_other_language_different_starting_weights__learning_curve_auc,learning_curve_auc,pair-07,-0.421846519241097
german,same_over_other_language_across_initializations,german_same_language_over_other_language_different_starting_weights__learning_curve_auc,learning_curve_auc,pair-08,-0.231215844711804
german,same_over_other_language_across_initializations,german_same_language_over_other_language_different_starting_weights__learning_curve_auc,learning_curve_auc,pair-09,0.0379126396683958
german,same_over_other_language_across_initializations,german_same_language_over_other_language_different_starting_weights__learning_curve_auc,learning_curve_auc,pair-10,0.394171793546976
german,same_over_other_language_across_initializations,german_same_language_over_other_language_different_starting_weights__learning_curve_auc,learning_curve_auc,pair-11,-0.0374497455989111
